Date,Open,High,Low,Close,Adj Close,Volume,Daily_Return
2018-02-16,1.56,1.56,1.51,1.54,1.54,53600,-0.006451612903225823
2018-02-20,1.57,1.68,1.5,1.59,1.59,101600,0.032467532467532534
2018-02-21,1.6,1.6,1.48,1.49,1.49,70200,-0.06289308176100639
2018-02-22,1.49,1.51,1.45,1.45,1.45,111900,-0.02684563758389269
2018-02-23,1.45,1.5,1.43,1.48,1.48,41200,0.020689655172413834
2018-02-26,1.46,1.56,1.46,1.54,1.54,69600,0.04054054054054057
2018-02-27,1.56,1.57,1.52,1.55,1.55,48600,0.006493506493506551
2018-02-28,1.54,1.56,1.48,1.52,1.52,76600,-0.01935483870967747
2018-03-01,1.53,1.57,1.53,1.55,1.55,57900,0.019736842105263275
2018-03-02,1.57,1.58,1.54,1.58,1.58,16700,0.019354838709677358
2018-03-05,1.53,1.62,1.5,1.5,1.5,22800,-0.05063291139240511
2018-03-06,1.52,1.6,1.52,1.54,1.54,29100,0.026666666666666616
2018-03-07,1.48,1.58,1.48,1.53,1.53,39800,-0.006493506493506551
2018-03-08,1.5,1.59,1.49,1.54,1.54,63400,0.006535947712418277
2018-03-09,1.6,1.62,1.54,1.58,1.58,81400,0.025974025974025983
2018-03-12,1.58,1.69,1.58,1.65,1.65,116100,0.04430379746835422
2018-03-13,1.66,1.68,1.64,1.65,1.65,58200,0.0
2018-03-14,1.64,1.67,1.56,1.56,1.56,13800,-0.05454545454545445
2018-03-15,1.57,1.66,1.56,1.65,1.65,28200,0.05769230769230771
2018-03-16,1.65,1.67,1.5,1.5,1.5,43300,-0.08196721311475397
2018-03-19,1.69,1.69,1.55,1.61,1.61,83800,0.07333333333333347
2018-03-20,1.55,1.64,1.55,1.55,1.55,62200,-0.037267080745341685
2018-03-21,1.6,1.75,1.57,1.72,1.72,106400,0.08510638297872353
2018-03-22,1.69,1.78,1.59,1.74,1.74,83600,0.011627906976744207
2018-03-23,1.72,1.79,1.62,1.67,1.67,130900,-0.04022988505747127
2018-03-26,1.67,1.73,1.67,1.71,1.71,39700,0.0239520958083832
2018-03-27,1.73,1.74,1.67,1.69,1.69,50500,-0.011695906432748537
2018-03-28,1.7,1.72,1.67,1.68,1.68,20500,-0.00591715976331364
2018-03-29,1.67,1.7,1.66,1.66,1.66,16100,-0.011904761904761862
2018-04-02,1.65,1.67,1.61,1.63,1.63,39600,-0.01807228915662651
2018-04-03,1.62,1.71,1.62,1.65,1.65,25100,0.012269938650306678
2018-04-04,1.65,1.72,1.65,1.71,1.71,22200,0.036363636363636376
2018-04-05,1.78,1.79,1.72,1.76,1.76,121200,0.029239766081871288
2018-04-06,1.77,1.77,1.72,1.75,1.75,18800,-0.005681818181818232
2018-04-09,1.61,1.74,1.6,1.68,1.68,51800,-0.040000000000000036
2018-04-10,1.69,1.85,1.68,1.8,1.8,129100,0.0714285714285714
2018-04-11,1.9,2.1,1.85,1.9,1.9,163600,0.05555555555555558
2018-04-12,1.91,1.94,1.85,1.9,1.9,36300,0.0
2018-04-13,1.86,1.95,1.86,1.88,1.88,97100,-0.010526315789473717
2018-04-16,1.92,1.92,1.9,1.91,1.91,23900,0.015957446808510634
2018-04-17,1.97,1.97,1.9,1.92,1.92,51900,0.005235602094240788
2018-04-18,1.93,1.95,1.9,1.91,1.91,24300,-0.00520833333333337
2018-04-19,1.93,1.96,1.85,1.96,1.96,47800,0.02617801047120416
2018-04-20,1.96,1.97,1.91,1.95,1.95,18900,-0.005102040816326481
2018-04-23,1.95,1.95,1.93,1.95,1.95,31400,0.0
2018-04-24,1.93,1.94,1.91,1.92,1.92,27500,-0.015384615384615441
2018-04-25,1.91,1.95,1.89,1.9,1.9,55100,-0.01041666666666663
2018-04-26,1.9,1.91,1.86,1.88,1.88,64700,-0.010526315789473717
2018-04-27,1.88,1.92,1.88,1.9,1.9,56000,0.010638297872340496
2018-04-30,1.9,1.92,1.86,1.86,1.86,53800,-0.021052631578947323
2018-05-01,1.85,1.88,1.82,1.83,1.83,39900,-0.016129032258064502
2018-05-02,1.83,1.9,1.83,1.89,1.89,16000,0.032786885245901454
2018-05-03,1.9,1.92,1.87,1.88,1.88,10600,-0.005291005291005346
2018-05-04,1.89,1.92,1.88,1.9,1.9,32200,0.010638297872340496
2018-05-07,1.91,1.91,1.86,1.86,1.86,52000,-0.021052631578947323
2018-05-08,1.85,1.88,1.85,1.87,1.87,13600,0.005376344086021501
2018-05-09,1.88,1.93,1.88,1.92,1.92,30900,0.026737967914438387
2018-05-10,1.95,2.07,1.94,1.99,1.99,78000,0.03645833333333326
2018-05-11,1.99,2.24,1.99,2.16,2.16,157700,0.08510638297872353
2018-05-14,2.3,2.33,2.2,2.24,2.24,192800,0.03703703703703698
2018-05-15,2.3,2.3,2.16,2.17,2.17,84900,-0.03125000000000011
2018-05-16,2.14,2.25,2.13,2.24,2.24,57500,0.032258064516129226
2018-05-17,2.26,2.26,2.16,2.19,2.19,44700,-0.022321428571428714
2018-05-18,2.17,2.23,2.15,2.2,2.2,75100,0.004566210045662267
2018-05-21,2.21,2.26,2.18,2.24,2.24,115600,0.0181818181818183
2018-05-22,2.26,2.28,2.15,2.23,2.23,126400,-0.0044642857142858094
2018-05-23,2.24,2.25,2.04,2.22,2.22,128700,-0.004484304932735328
2018-05-24,2.24,2.24,2.1,2.13,2.13,47600,-0.04054054054054068
2018-05-25,2.12,2.12,1.97,2.02,2.02,136900,-0.05164319248826288
2018-05-29,2.05,2.2,2.05,2.17,2.17,140300,0.07425742574257432
2018-05-30,2.2,2.2,2.06,2.15,2.15,50400,-0.009216589861751112
2018-05-31,2.15,2.16,2.06,2.07,2.07,78600,-0.037209302325581395
2018-06-01,2.05,2.09,2.02,2.02,2.02,48900,-0.02415458937198056
2018-06-04,2.02,2.07,2.02,2.05,2.05,47000,0.014851485148514865
2018-06-05,2.05,2.12,2.05,2.07,2.07,25900,0.009756097560975618
2018-06-06,2.08,2.09,2.05,2.05,2.05,34500,-0.009661835748792313
2018-06-07,2.05,2.06,2.03,2.04,2.04,27000,-0.004878048780487698
2018-06-08,2.04,2.1,2.04,2.08,2.08,39800,0.019607843137254832
2018-06-11,2.08,2.1,2.06,2.1,2.1,45000,0.009615384615384581
2018-06-12,2.08,2.19,2.08,2.19,2.19,42600,0.042857142857142705
2018-06-13,2.2,2.29,2.16,2.24,2.24,187700,0.022831050228310668
2018-06-14,2.24,2.24,2.0,2.07,2.07,109900,-0.07589285714285732
2018-06-15,2.1,2.1,2.02,2.05,2.05,66000,-0.009661835748792313
2018-06-18,2.05,2.06,1.78,1.9,1.9,186800,-0.07317073170731703
